upperx,uppery,lowerx,lowery
11721.82379,139.560873,11915.83133,137.338407
11638.06651,138.4621186,11860.04799,136.7899897
11540.40453,137.3643241,11804.26466,136.2415724
11456.64724,136.2655696,11727.62427,135.6945949
11358.90298,134.8916467,11650.90161,134.871489
11275.06342,133.5167638,11553.23963,133.7736944
11219.11553,132.4160896,11469.48234,132.67494
11149.26294,131.3163753,11378.69044,131.3005371
11093.23277,129.9395726,11315.7902,130.2003428
11037.20261,128.56277,11245.85533,128.8245001
10981.09016,126.9098389,11196.85979,127.7233459
10939.04697,125.8082048,11140.82962,126.3465433
10910.99074,124.9817392,11091.7518,124.9692607
11317.02434,134.3422695,11049.54405,123.3153697
11679.94515,139.0114958,10993.34933,121.3863101
10882.93452,124.1552737,10958.17621,120.0080676
10854.71375,122.7765513,10915.96846,118.3541767
10826.65752,121.9500857,10880.79534,116.9759342
10798.6013,121.1236202,10838.58759,115.3220432
10770.4628,120.0210262,10803.33219,113.6676723
10742.32431,118.9184322,10768.07679,112.0133013
10714.18581,117.8158382,10732.78025,110.2208662
10685.96503,116.4371158,10697.48372,108.428431
10657.82653,115.3345218,10669.26294,107.0497086
10629.60576,113.9557993,10640.95989,105.3948577
10601.38498,112.5770769,10619.60919,103.7395269
10587.15118,111.473523,10584.35379,102.085156
10558.93041,110.0948006,10555.96846,100.1541767
10530.70963,108.7160782,10527.58313,98.22319735
10502.48886,107.3373557,10499.11553,96.01608959
10474.26808,105.9586333,10477.76483,94.36075877
10460.03428,104.8550794,10456.41412,92.70542795
10445.7182,103.4753971,10427.61742,89.39380642
10417.49743,102.0966747,10442.01577,91.04961719
10403.09907,100.4408639,10406.26671,87.7384756
10374.79602,98.78601303,10391.86836,86.08266484
10353.44532,97.13068221,10377.47,84.42685407
10332.13576,95.61341561,10356.1193,82.77152325
10317.69626,93.81954062,10348.59102,80.8391041
10289.31094,91.88856131,10327.24032,79.18377328
10288.65273,89.67953377,10312.84196,77.52796252
10281.289,88.2993715,10291.49126,75.8726317
10274.08982,87.47146612,10270.22283,74.49342932
10259.77374,86.0917838,10248.95441,73.11422695
10252.41001,84.71162153,10227.6037,71.45889613
10238.01166,83.05581076,10199.4652,70.35630214
10230.81248,82.22790538,10171.16215,68.70145126
10216.4964,80.84822306,10142.77683,66.77047195
10202.2626,79.74466918,10100.56908,65.11658096
10187.94652,78.36498686,10065.39595,63.73833848
10166.71923,77.1238487,10030.22283,62.36009599
10145.40967,75.6065821,9988.09736,60.98233345
10117.02434,73.67560279,9953.006514,59.8802194
10088.72129,72.02075191,9917.915667,58.77810536
10060.41824,70.36590104,9882.865958,57.81405554
10032.11519,68.71105017,9840.863901,56.85048566
9989.825163,66.78103074,9798.820706,55.74885156
9947.535139,64.85101131,9749.825163,54.64769741
9919.314364,63.47228888,9707.781968,53.54606331
9891.175866,62.36969489,9665.821049,52.72055765
9863.037367,61.2671009,9616.907782,51.89553194
9834.981145,60.44063536,9567.994515,51.07050623
9806.842647,59.33804137,9519.081248,50.24548052
9764.799451,58.23640727,9470.167981,49.42045481
9722.67398,56.85864473,9414.302365,48.59590904
9680.630785,55.75701063,9358.43675,47.77136327
9638.58759,54.65537653,9302.653411,47.22294595
9582.59856,53.4166381,9246.828934,46.5364644
9533.561879,52.17741972,9191.004457,45.84998286
9463.627014,50.80157696,9135.221118,45.30156554
9407.679122,49.70090275,9037.641412,44.47989944
