upperx,uppery,lowerx,lowery,
10950,373.5722,10950,158.2542,1
10945,362.7343,10945,154.9608,2
10940,352.2703,10940,151.8028,3
10935,342.1684,10935,148.7749,4
10930,332.4172,10930,145.8721,5
10925,323.0054,10925,143.0896,6
10920,313.9222,10920,140.4227,7
10915,305.1572,10915,137.8669,8
10910,296.7002,10910,135.4179,9
10905,288.5411,10905,133.0713,10
10900,280.6704,10900,130.8231,11
10895,273.0788,10895,128.6694,12
10890,265.757,10890,126.6064,13
10885,258.6963,10885,124.6304,14
10880,251.8882,10880,122.7379,15
10875,245.3243,10875,120.9255,16
10870,238.9966,10870,119.1898,17
10865,232.8971,10865,117.5278,18
10860,227.0184,10860,115.9362,19
10855,221.3531,10855,114.4123,20
10850,215.8939,10850,112.9531,21
10845,210.6339,10845,111.5558,22
10840,205.5665,10840,110.2179,23
10835,200.6851,10835,108.9369,24
10830,195.9833,10830,107.7101,25
10579.0446,100,10825.81156,100,33
10576.14146,99.36982813,10822.90842,99.36982813,34
10570.33518,98.56779122,10820.00528,98.73965627,35
10567.43204,97.93761935,10814.199,98.1094844,36
10561.62576,97.25015913,10808.39272,97.25015913,37
10555.81948,96.44812222,10802.58643,96.44812222,38
10550.0132,95.53150859,10796.78015,95.53150859,39
10541.30377,94.72947167,10790.97387,94.84404838,40
10535.49749,93.98472311,10782.26445,93.98472311,41
10529.69121,93.23997454,10776.45817,93.06810948,42
10520.98179,92.55251432,10767.74875,92.20878421,43
10515.17551,91.7504774,10759.03932,91.34945894,44
10506.46609,91.06301719,10750.3299,90.43284532,45
10497.75666,90.26098027,10735.8142,89.34436665,46
10489.04724,89.5162317,10727.10478,88.54232973,47
10480.33782,88.77148313,10715.49221,87.6257161,48
10468.72526,88.08402292,10700.97651,86.59452578,49
10460.01584,87.3965627,10683.55767,85.56333546,50
10448.40327,86.70910248,10666.13882,84.53214513,51
10439.69385,86.02164227,10648.71998,83.50095481,52
10428.08129,85.44875875,10631.30113,82.58434118,53
10416.46873,84.87587524,10608.07601,81.55315086,54
10401.95302,84.18841502,10590.65717,80.69382559,55
10387.43732,83.50095481,10573.23832,80.06365372,56
10372.92162,82.81349459,10555.81948,79.37619351,57
10358.40591,82.18332272,10538.40063,78.68873329,58
10343.89021,81.61043921,10515.17551,77.77211967,59
10326.47136,80.98026735,10494.85352,76.97008275,60
10311.95566,80.35009548,10471.6284,76.16804583,61
10297.43996,79.60534691,10451.30641,75.36600891,62
10282.92425,78.9178867,10430.98443,74.56397199,63
10265.50541,78.34500318,10407.7593,73.81922342,64
10248.08657,77.77211967,10387.43732,73.01718651,65
10233.57086,77.1419478,10364.21219,72.27243794,66
10216.15202,76.51177594,10343.89021,71.58497772,67
10195.83003,75.93889243,10320.66508,70.84022915,68
10181.31433,75.36600891,10297.43996,70.03819223,69
10160.99235,74.6785487,10271.31169,69.29344367,70
10140.67036,74.10566518,10248.08657,68.49140675,71
10120.34838,73.41820496,10224.86144,67.80394653,72
10097.12325,72.73074475,10201.63632,67.11648631,73
10079.70441,72.15786123,10178.41119,66.4290261,74
10059.38242,71.47040102,10155.18606,65.79885423,75
10039.06044,70.8975175,10129.0578,65.11139402,76
10018.73845,70.32463399,10105.83267,64.5385105,77
9998.416469,69.75175048,10079.70441,63.79376194,78
9978.094484,69.29344367,10056.47928,63.22087842,79
9957.772499,68.72056015,10027.44788,62.5334182,80
9937.450515,68.14767664,9998.416469,61.84595799,81
9917.12853,67.57479313,9975.191343,61.27307447,82
9899.709686,67.00190961,9946.159937,60.70019096,83
9879.387701,66.4290261,9917.12853,60.01273074,84
9859.065717,65.85614258,9888.097123,59.43984723,85
9838.743732,65.34054742,9856.162576,58.75238701,86
9818.421747,64.71037556,9824.228029,58.1795035,87
9798.099762,64.19478039,9795.196622,57.60661999,88
9774.874637,63.67918523,9757.455793,56.91915977,89
9754.552652,63.10630172,9725.521246,56.34627626,90
9731.327527,62.47612985,9696.489839,55.77339274,91
9708.102402,61.96053469,9655.84587,55.08593253,92
9684.877276,61.44493953,9615.2019,54.51304901,93
9664.555292,60.92934437,9586.170494,53.9401655,94
9638.427026,60.35646085,9551.332805,53.48185869,95
9618.105041,59.89815404,9516.495117,52.90897518,96
9597.783056,59.43984723,9481.657429,52.39338001,97
9574.557931,58.98154042,9443.916601,51.87778485,98
9551.332805,58.52323361,9409.078913,51.41947804,99
9528.10768,58.00763845,9371.338084,50.96117123,100
9504.882555,57.49204328,9336.500396,50.50286442,101
9472.948007,56.97644812,9301.662708,50.15913431,102
9446.819741,56.46085296,9261.018738,49.64353915,103
9423.594616,56.00254615,9220.374769,49.24252069,104
9394.563209,55.54423934,9185.537081,48.89879058,105
9365.531803,54.97135582,9144.893112,48.49777212,106
9342.306677,54.62762572,9104.249142,48.15404201,107
9316.178411,54.28389561,9060.702032,47.8103119,108
9284.243864,53.8255888,9020.058063,47.5811585,109
9255.212457,53.36728199,8976.510953,47.23742839,110
9226.18105,52.90897518,8930.060702,46.95098663,111
9191.343362,52.45066836,8889.416733,46.72183323,112
9156.505674,51.99236155,8842.966482,46.49267982,113
9115.861705,51.41947804,8805.225653,46.32081477,114
9081.024017,51.01845958,8761.678543,46.14894971,115
9046.186329,50.61744112,8715.228292,45.91979631,116
9011.348641,50.27371101,8668.778042,45.74793125,117
8976.510953,49.87269255,8622.327791,45.5760662,118
8941.673265,49.5862508,8567.168118,45.40420115,119
8906.835577,49.24252069,8514.911586,45.17504774,120
8871.997889,48.95607893,8451.042491,45.00318269,121
8837.160201,48.66963717,8392.979678,44.83131763,122
8802.322513,48.44048377,8337.820005,44.65945258,123
8767.484824,48.21133036,8285.563473,44.48758752,124
8732.647136,47.98217696,8236.210082,44.31572247,125
8697.809448,47.75302355,8186.85669,44.14385742,126
8657.165479,47.52387015,8143.30958,44.02928071,127
8616.52151,47.35200509,8093.956189,43.85741566,128
8575.87754,47.18014004,8050.409079,43.74283896,129
8535.233571,47.06556334,8003.958828,43.5709739,130
8494.589601,46.89369828,7957.508577,43.39910885,131
8453.945632,46.72183323,7908.155186,43.22724379,132
8413.301663,46.60725652,7861.704935,43.05537874,133
8372.657693,46.49267982,7815.254685,42.88351369,134
8332.013724,46.37810312,7771.707575,42.71164863,135
8291.369755,46.26352642,7719.451042,42.48249523,136
8244.919504,46.14894971,7673.000792,42.19605347,137
8204.275534,46.03437301,7617.841119,41.90961171,138
8169.437846,45.97708466,7574.294009,41.62316996,139
8128.793877,45.91979631,7530.746899,41.3367282,140
8088.149908,45.80521961,7490.10293,41.05028644,141
8053.31222,45.6906429,7449.45896,40.76384468,142
8012.66825,45.5760662,7417.524413,40.53469128,143
7974.927421,45.51877785,7379.783584,40.19096117,144
7937.186593,45.34691279,7347.849037,39.90451941,145
7890.736342,45.23233609,7310.108208,39.56078931,146
7855.898654,45.11775939,7269.464239,39.15977085,147
