cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
1,buffer,em,100.9588318,102.4256992,4,,,,100.9588,island,1234500,37928.80584,236363,940979
2,buffer,em,80.4410553,50.90313816,4,20.00543555,60.50264506,62.61344397,81.19672,mainland,,327.959227,28828,38438
3,buffer,em,76.50267792,68.81442324,4,20.42792547,66.08982388,64.07187791,77.80814,island,2893600,899.8127308,105856,242820
4,buffer,em,71.87452698,115.0381749,4,43.89873582,86.41896109,86.70056073,73.57698,mainland,,39.36420425,1127,1127
5,buffer,em,73.41650391,300.4685923,4,74.1192262,74.45980248,89.000051,74.92407,mainland,,238.3640064,16642,17261
6,buffer,em,102.869606,280.5283585,4,,,,102.8696,island,26700,293.1302369,43533,62298
7,buffer,em,95.01966095,52.41049004,3,9.068012339,18.1916533,17.65384939,95.32215,island,26700,1098.937965,77263,251503
8,buffer,em,90.99388885,29.99297094,4,29.16751376,30.27741789,30.96960532,95.76937,island,35400,4110.980803,86550,207022
9,buffer,em,91.60324097,42.37183857,4,24.98114486,28.85645449,28.1079623,96.88233,island,2100,2342.194341,36649,92481
10,buffer,em,79.05278778,89.08920898,4,25.03160853,67.02532945,66.91732153,80.92458,mainland,,8953.439223,89028,256282
11,buffer,em,81.58444977,256.760849,3,39.71432653,58.66622945,57.435076,81.6853,mainland,,34.29548107,1052,2261
12,buffer,em,72.1963501,188.9924698,3,47.17522186,82.98358116,84.5769334,72.56943,mainland,,22.53223362,631,631
13,buffer,em,77.9093399,223.20802,3,69.8878952,70.45382484,61.37460218,78.95588,island,2819100,5139.220607,118610,207056
14,buffer,em,88.77629852,292.9195023,4,1.974223689,37.50098158,35.1385872,88.81307,island,1576300,238.5465201,31137,45670
15,buffer,em,72.85540771,216.3133423,3,15.26293736,82.36358421,89.56306488,73.33619,mainland,,59.26258026,6593,6593
16,buffer,em,87.12443542,97.77857971,4,41.57569112,42.31988758,42.30353419,89.61154,mainland,,204.6150603,9333,10323
17,buffer,em,82.70350647,4.606044456,3,23.99883185,52.63647581,54.54663016,82.70351,island,3008700,409.3632063,182,182
18,buffer,em,101.5411377,283.7612,4,,,,103.0516,island,1064500,328.8418503,36680,45112
19,buffer,em,100.9798584,167.7280553,4,,,,103.0946,island,1000,33381.98949,393469,1464269
20,buffer,em,98.33585358,178.5886116,4,7.553512796,6.31234529,6.160616202,98.52219,island,600,3609.973656,35776,134780
21,buffer,em,81.04564667,247.0754486,3,17.72482864,56.85861676,57.9049198,83.0478,island,5300,169.9463623,4944,4944
