cat,askeladden_id,municipality,quality,elev_minimum,phase,slope_average,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,site_size,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
10,22346-1,bamb,2,33.63698196,lm,23.1248579,216.096138,4,902.9605642,880.4887911,782.7148385,119.855,33.63698,island,8180500,5953.531728,73145,286085
22,80860-1,bamb,2,30.79936218,lm,15.81997204,225.1856232,4,520.3517498,1133.075885,1163.187047,98.078274,33.14102,mainland,,3907.149554,27165,162882
26,95384-1,bamb,3,34.22261429,lm,5.908984323,95.4784832,4,723.6451475,887.6268189,896.019345,1336.119995,36.20184,mainland,,1628.877268,16470,28641
30,110249-1,bamb,2,51.41467,mm,5.110338,215.2209,4,35.70819015,182.3106475,189.7697938,54.55,51.394,island,28600,1421.818182,404,404
31,110250-1,bamb,2,49.71998215,mm,1.651234478,172.3393497,4,59.44529213,206.8577589,216.5834097,359.649999,49.71998,island,1536200,31.40150532,2953,75783
32,110251-1,bamb,2,54.0213356,mm,9.180587292,62.91692162,2,104.2622121,144.579511,150.0760627,152.844999,54.02134,island,114700,2761.323252,76246,230941
33,110252-1,bamb,2,52.60027695,mm,4.945328474,74.22582626,4,101.5807719,169.6483884,168.5745953,176.944999,52.82413,island,1239000,1237.577924,31746,110487
34,110253-1,bamb,3,51.56681061,mm,4.254308701,46.83073044,4,92.61779874,184.0105467,184.5446214,113.775,51.56681,island,1286700,1256.171517,195,195
36,110255-1,bamb,2,50.69451141,mm,7.107954443,298.0535135,4,124.9251764,199.3877517,194.5334606,757.149997,52.2141,island,1239000,68.21553744,6482,8489
42,113522-1,bamb,2,23.44398689,lm,4.981256962,22.09157944,4,77.62001288,1221.884341,1811.04586,30.435,23.44399,mainland,,196.5387451,1679,1679
46,114117-1,bamb,3,41.04114914,mm,6.273280621,258.9370728,4,335.9352574,462.1492892,451.1751599,145.972595,41.04115,island,1086900,163.0634847,12006,13164
